,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.9994301994301994,0.8559765797613788,0.8553113553113553,0.8566544566544566,0.9971258302341108
1,Baseline_use_wavelets_False_and_use_fft_False,0.9878084878084877,0.8518148823552414,0.8466666666666667,0.9878084878084877,0.9679258772051516
2,Baseline_use_fft_False,0.9947535644783351,0.8261754635276793,0.8092800260035755,0.8526459124100015,0.9928196421474218
3,Baseline_use_fft_False_and_no_gMLP,0.9997150997150998,0.9987821591839362,0.9978632478632479,0.9997150997150998,0.9985611055063746
4,Baseline_use_wavelets_False,0.9975535168195719,0.6572981341927737,0.6507936507936507,0.6650356778797146,0.9885898627422472
5,Baseline_use_wavelets_False_and_no_gMLP,0.998269688177945,0.6957773065361829,0.675,0.7487022661334588,0.9914199036036255
6,Baseline_use_gmlp_False,0.9985545884628454,0.9883891231543055,0.97894903450459,0.9985545884628454,0.9928404680303528
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9997150997150998,0.8570206525724062,0.8571428571428571,0.8568986568986569,0.9985612943140665
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,1.0,1.0,1.0,1.0,1.0
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,1.0,1.0,1.0,1.0,1.0
10,Baseline_use_kan_False,1.0,1.0,1.0,1.0,1.0
11,Baseline_use_smoe_False,0.9947953847036416,0.9138929226063569,0.8886035007610351,0.9947953847036416,0.9928192253927879
12,Baseline_use_gc_False,1.0,1.0,1.0,1.0,1.0
13,Baseline_use_lookahead_False,1.0,1.0,1.0,1.0,1.0
